代码, 转债名称, 现价, 溢价率, 剩余规模, 双低
128085, 鸿达转债, 102.24, 0.7, 11.067, 102.94
110080, 东湖转债, 101.76, 5.89, 15.5, 107.65
128127, 文科转债, 98.385, 10.12, 9.499, 108.51
127033, 中装转2, 99.802, 8.92, 11.6, 108.72
113610, 灵康转债, 107.08, 4.01, 5.25, 111.09
128087, 孚日转债, 101.214, 10.28, 6.498, 111.49
128013, 洪涛转债, 105.657, 6.11, 11.59, 111.77
123080, 海波转债, 109.9, 4.74, 2.45, 114.64
113568, 新春转债, 109.52, 6.88, 3.299, 116.40
110071, 湖盐转债, 105.85, 10.71, 7.199, 116.56
123097, 美力转债, 106.849, 9.9, 3, 116.75
113549, 白电转债, 103.08, 13.85, 8.799, 116.93
128145, 日丰转债, 109.822, 7.48, 3.8, 117.30
113591, 胜达转债, 104.7, 13.02, 5.497, 117.72
128066, 亚泰转债, 101.271, 17.84, 4.798, 119.11
127034, 绿茵转债, 104.711, 10.79, 7.12, 115.5
127028, 英特转债, 110.18, 3.61, 6, 113.79
127035, 濮耐转债, 105.652, 9.10, 6.260, 114.75
111000, 起帆转债, 109, 8.26, 10, 117.26
113033, 利群转债, 100.32, 12.34, 17.998, 112.66
