代码, 转债名称, 行业, 现价, 溢价率, 剩余规模, 双低
110080, 东湖转债, 建筑装饰-基础建设-其他基础建设, 101.76, 5.89, 15.5, 107.65
128127, 文科转债, 建筑装饰-园林工程Ⅱ-园林工程Ⅲ, 98.385, 10.12, 9.499, 108.51
127033, 中装转2, 建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ, 99.802, 8.92, 11.6, 108.72
128087, 孚日转债, 纺织服装-纺织制造-棉纺, 101.214, 10.28, 6.498, 111.49
128013, 洪涛转债, 建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ, 105.657, 6.11, 11.59, 111.77
113591, 胜达转债, 轻工制造-包装印刷Ⅱ-包装印刷Ⅲ, 104.7, 13.02, 5.497, 117.72
128066, 亚泰转债, 建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ, 101.271, 17.84, 4.798, 119.11
127034, 绿茵转债, 公用事业-环保工程及服务Ⅱ-环保工程及服务Ⅲ, 104.711, 10.79, 7.12, 115.5
127028, 英特转债, 医药生物-医药商业Ⅱ-医药商业Ⅲ, 110.18, 3.61, 6, 113.79
113033, 利群转债, 商业贸易-一般零售-多业态零售, 100.32, 12.34, 17.998, 112.66
128130, 景兴转债, 轻工制造-造纸Ⅱ-造纸Ⅲ, 111.4, 4.05, 10.651, 115.45
123082, 北陆转债, 医药生物-化学制药-化学制剂, 111.62, 10.99, 4.998, 122.61
128107, 交科转债, 建筑装饰-基础建设-路桥施工, 107, 12.36, 24.997, 119.36
128100, 搜特转债, 纺织服装-服装家纺-休闲服装, 100.879, 6.82, 7.993, 107.7
127018, 本钢转债, 钢铁-钢铁Ⅱ-普钢, 122.100, 5.50, 67.509, 127.60
113535, 大业转债, 机械设备-金属制品Ⅱ-金属制品Ⅲ, 111.460, 37.12, 95.28, 149.48
127027, 靖远转债, 采掘-煤炭开采Ⅱ-煤炭开采Ⅲ, 117.032, 16.01, 27.994, 132.74
113610, 灵康转债, 医药生物-化学制药-化学制剂, 117.12, 16.04, 4.585, 133.16
128129, 青农转债, 银行-银行Ⅱ-银行Ⅲ, 109.754, 18.54, 49.998, 128.29
128063, 未来转债, 轻工制造-家用轻工-家具, 119.198, 12.77, 6.294, 131.97
