代码, 转债名称, 行业, 评级, 现价, 溢价率, 剩余规模, 双低
110080, 东湖转债, 建筑装饰-基础建设-其他基础建设, AA, 101.76, 5.89, 15.5, 107.65
128127, 文科转债, 建筑装饰-园林工程Ⅱ-园林工程Ⅲ, AA-, 98.385, 10.12, 9.499, 108.51
127033, 中装转2, 建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ, AA, 99.802, 8.92, 11.6, 108.72
128087, 孚日转债, 纺织服装-纺织制造-棉纺, AA-, 101.214, 10.28, 6.498, 111.49
128013, 洪涛转债, 建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ, A-, 105.657, 6.11, 11.59, 111.77
113591, 胜达转债, 轻工制造-包装印刷Ⅱ-包装印刷Ⅲ, AA-, 104.7, 13.02, 5.497, 117.72
128066, 亚泰转债, 建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ, AA-, 101.271, 17.84, 4.798, 119.11
127034, 绿茵转债, 公用事业-环保工程及服务Ⅱ-环保工程及服务Ⅲ, AA-, 104.711, 10.79, 7.12, 115.5
127028, 英特转债, 医药生物-医药商业Ⅱ-医药商业Ⅲ, 	AA+, 110.18, 3.61, 6, 113.79
113033, 利群转债, 商业贸易-一般零售-多业态零售, AA, 100.32, 12.34, 17.998, 112.66
128130, 景兴转债, 轻工制造-造纸Ⅱ-造纸Ⅲ, AA, 111.4, 4.05, 10.651, 115.45
123082, 北陆转债, 医药生物-化学制药-化学制剂, A+, 111.62, 10.99, 4.998, 122.61
128107, 交科转债, 建筑装饰-基础建设-路桥施工, AA+, 107, 12.36, 24.997, 119.36
128100, 搜特转债, 纺织服装-服装家纺-休闲服装, A, 100.879, 6.82, 7.993, 107.7
127018, 本钢转债, 钢铁-钢铁Ⅱ-普钢, AAA, 122.100, 5.50, 67.509, 127.60
113535, 大业转债, 机械设备-金属制品Ⅱ-金属制品Ⅲ, AA, 111.460, 37.12, 95.28, 149.48
113610, 灵康转债, 医药生物-化学制药-化学制剂, AA-, 117.12, 16.04, 4.585, 133.16
128063, 未来转债, 轻工制造-家用轻工-家具, AA-, 119.198, 12.77, 6.294, 131.97
127042, 嘉美转债, 轻工制造-包装印刷Ⅱ-包装印刷Ⅲ, AA, 122.461, 7.26, 7.5, 129.72
113609, 永安转债, 汽车-其他交运设备Ⅱ-其他交运设备Ⅲ, AA-, 122.46, 8.45, 7.339, 130.91
